월,역명,승차인원
01,경대병원,180096
02,경대병원,182457
03,경대병원,212246
04,경대병원,206744
05,경대병원,207189
06,경대병원,196618
07,경대병원,186640
08,경대병원,185968
09,경대병원,197834
10,경대병원,178899
11,경대병원,203388
12,경대병원,199518
